sample_id,terminology,sx_en,obj_id,mapType,confidence,rater1_acceptable,rater1_mapType,rater2_acceptable,rater2_mapType,rater3_acceptable,rater3_mapType
S0295,ICD11,pain relieved by qi-moving (massage/exercise),ICD11:XE0KF,close,Medium,0,related,0,close,0,related
S0296,ICD11,eroded crusted auricle,ICD11:LA24,close,Medium,1,close,1,close,1,close
S0297,ICD11,Menometrorrhagia,ICD11:GA20.50,close,inherited,1,close,0,close,0,close
S0298,ICD11,left anterior chest pain,ICD11:MC86,close,Medium,1,close,0,close,1,close
S0299,ICD11,preferring to curl up in bed,ICD11:SF97,close,Medium,0,close,1,close,0,close
S0300,ICD11,chyluria (milky urine),ICD11:SF79,close,High,1,close,1,close,1,close
S0301,ICD11,egg-soup-like stool,ICD11:SF70,close,Medium,0,close,0,close,0,related
S0302,ICD11,Black philtrum,ICD11:XM08L6,close,High,1,close,1,close,0,close
S0303,ICD11,Bluish perioral-region,ICD11:XA1A48,close,High,0,related,1,close,1,close
S0304,ICD11,oliguria,ICD11:MF51,close,High,0,close,1,close,1,close
S0305,ICD11,wrist drop (flaccid hand),ICD11:FA31.3,close,High,1,close,1,close,1,close
S0306,ICD11,incessant dripping of pus,ICD11:SR1T,close,Medium,0,related,1,close,0,close
S0307,ICD11,pale gums,ICD11:SE90,close,Medium,1,close,0,close,1,close
S0308,ICD11,hard swollen gums,ICD11:EH92.00,close,Medium,0,close,0,close,1,close
S0309,ICD11,limb weakness,ICD11:SS3E,close,Medium,0,close,0,close,1,close
S0310,ICD11,purplish-red anal prolapse,ICD11:DB53,close,High,1,close,1,close,1,close
S0311,ICD11,Constipation,ICD11:SA57,close,High,0,close,1,close,1,close
S0312,ICD11,soundless vomiting (retching),ICD11:MD90.1,close,Medium,0,close,1,close,0,related
S0313,ICD11,poor appetite,ICD11:SF7M,close,Medium,0,close,1,close,0,close
S0314,ICD11,festering palate,ICD11:XA4527,close,Medium,0,close,0,close,1,close
S0315,ICD11,bluish-purple gums,ICD11:SF01,close,Medium,1,close,0,close,0,close
S0316,ICD11,deep-rooted tumor,ICD11:XK16,close,Medium,1,close,1,close,0,close
S0317,ICD11,apple-like odor in mouth,ICD11:SF93,close,Medium,0,close,1,close,1,close
S0318,ICD11,cinnabar palms (palmar erythema),ICD11:SF93,close,Medium,0,close,1,close,0,close
S0319,ICD11,dental erosion in children,ICD11:DA08.0,close,Medium,1,close,0,close,1,close
S0320,ICD11,head stuffiness,ICD11:SG80,close,Medium,1,close,1,close,1,close
S0321,ICD11,sticky vaginal discharge,ICD11:MF3A,close,High,1,close,1,close,1,close
S0322,ICD11,non-scaling rash,ICD11:SF01,close,Medium,1,close,0,close,0,related
S0323,ICD11,loud belching,ICD11:MD91,close,High,0,related,1,close,1,close
S0324,ICD11,foreign body in the nasal cavity,ICD11:ND72.0,close,High,1,close,1,close,1,close
S0325,ICD11,low deep hiccup,ICD11:XK16,close,Medium,0,close,1,close,1,close
S0326,ICD11,red erosion of the eyelid margin (marginal blepharitis),ICD11:XA4AX5,close,Medium,1,close,1,close,0,close
S0327,ICD11,Gray pus,ICD11:SF7G,close,Medium,1,close,0,close,1,close
S0328,ICD11,Epididymis induration,ICD11:XA4D25,close,High,1,close,1,close,1,close
S0329,ICD11,premenstrual facial acne,ICD11:SF82,close,Medium,0,close,0,close,1,close
S0330,ICD11,red dots on the skin,ICD11:SF01,close,Medium,0,close,1,close,1,close
S0331,ICD11,blurred distant vision,ICD11:SF60,close,Medium,0,close,1,close,0,close
S0332,ICD11,inability to close the eyelid (lagophthalmos),ICD11:XE8L2,close,Medium,0,related,0,close,0,close
S0333,ICD11,pus discharge from the lacrimal punctum,ICD11:XA2VR4,close,Medium,0,close,1,close,0,close
S0334,ICD11,Flushed red eyelid-margin,ICD11:XA53T1,close,Medium,0,close,0,close,0,close
S0335,ICD11,Limb joint contracture,ICD11:FA34.3,close,Medium,1,close,1,close,0,related
S0336,ICD11,anal relaxation,ICD11:SE93,close,Medium,1,close,0,close,1,close
S0337,ICD11,gray-white hemorrhoidal nodule,ICD11:SF7C,close,Medium,1,close,1,close,0,close
S0338,ICD11,alternating chills and fever at irregular intervals,ICD11:SD93,close,High,0,close,1,close,1,close
S0339,ICD11,absence of urinous odor,ICD11:LB42.0,close,Medium,0,close,0,close,1,close
S0340,ICD11,Pale tarsal-plate,ICD11:SF00,close,Medium,1,close,0,close,1,close
S0341,ICD11,frequent yawning,ICD11:MD11.D,close,Medium,0,close,0,close,0,close
S0342,ICD11,Pale tarsal-plate,ICD11:SR1T,close,Medium,0,related,0,close,1,close
S0343,ICD11,Bluish philtrum,ICD11:XA5LY8,close,High,1,close,1,close,1,close
S0344,ICD11,Severe pain,ICD11:XS2U,close,High,1,close,1,close,1,close
S0345,ICD11,foul putrid belching,ICD11:MD91,close,High,0,related,1,close,1,close
S0346,ICD11,noisy flatus,ICD11:SF72,close,Medium,0,close,0,close,1,close
S0347,ICD11,serum-crusted rash,ICD11:ME66.6Z,close,Medium,1,close,0,close,0,close
S0348,ICD11,Skin anesthesia (loss of sensation),ICD11:XM0FJ3,close,Medium,1,close,1,close,0,close
S0349,ICD11,afternoon tidal fever,ICD11:1C11.00,close,Medium,0,related,0,close,1,close
S0350,ICD11,umbilical redness,ICD11:XA0VZ0,close,Medium,0,close,0,close,0,close
S0351,ICD11,urgent urination,ICD11:SF9G,close,Medium,0,related,1,close,1,close
S0352,ICD11,dry lips with peeling skin,ICD11:ED53,close,High,1,close,1,close,0,related
S0353,ICD11,Thoracic cage flatness,ICD11:SF93,close,Medium,1,close,1,close,0,close
S0354,ICD11,Trigeminal neuralgia,ICD11:8A82,close,High,1,close,1,close,1,close
S0355,ICD11,delayed menstruation,ICD11:SB81,close,High,0,related,1,close,1,close
S0356,ICD11,Nodule softness,ICD11:SK6T,close,Medium,1,close,0,close,1,close
S0357,ICD11,Brown nodule,ICD11:SK6T,close,Medium,0,close,1,close,1,close
S0358,ICD11,Kyphosis,ICD11:FC01.3,close,High,1,close,1,close,1,close
S0359,ICD11,burn skin peeling,ICD11:ED53,close,High,1,close,1,close,1,close
S0360,ICD11,body numbness,ICD11:SC62,close,Medium,1,close,1,close,0,close
S0361,ICD11,Stool odorless,ICD11:XE484,close,High,1,close,1,close,1,close
S0362,ICD11,yellow teeth,ICD11:DA07.7,close,Medium,0,related,1,close,1,close
S0363,ICD11,yellow urine,ICD11:SF5A,close,Medium,1,close,1,close,1,close
S0364,ICD11,lustrous eye tissue,ICD11:XA0UK0,close,Medium,1,close,0,close,1,close
S0365,ICD11,alveolar bone necrosis,ICD11:XA37J7,close,Medium,1,close,1,close,1,close
S0366,ICD11,Black philtrum,ICD11:XA5LY8,close,High,1,close,1,close,1,close
S0367,ICD11,Sputum fishy,ICD11:SF7M,close,Medium,0,close,1,close,1,close
S0368,ICD11,stiff tongue with sluggish speech,ICD11:MB23.L,close,Medium,0,close,1,close,0,close
S0369,ICD11,indurated blue vessels of lower limb,ICD11:LB9A.0,close,Medium,0,close,0,close,1,close
S0370,ICD11,Premature ejaculation,ICD11:SB08,close,High,1,close,1,close,1,close
S0371,ICD11,body itching during menstruation,ICD11:SF82,close,Medium,0,close,1,close,1,close
S0372,ICD11,incessant overthinking,ICD11:SF64,close,Medium,0,related,1,close,0,close
S0373,ICD11,White pus,ICD11:XM3DL1,close,Medium,1,close,0,close,1,close
S0374,ICD11,weak bowel sounds,ICD11:ME03.Z,close,Medium,0,close,1,close,0,close
S0375,ICD11,soft anal nodule,ICD11:SK6T,close,Medium,0,close,0,close,1,close
S0376,ICD11,dry-crusted rash,ICD11:ME66.61,close,Medium,0,related,1,close,1,close
S0377,ICD11,delayed closure of fontanelle,ICD11:SF7A,close,Medium,1,close,1,close,1,close
S0378,ICD11,disturbed color vision,ICD11:SF57,close,Medium,0,related,1,close,0,related
S0379,ICD11,damp umbilicus,ICD11:SF9G,close,High,0,related,1,close,1,close
S0380,ICD11,red threads on inner forearm (acute lymphangitis),ICD11:XM3R78,close,Medium,0,close,1,close,1,close
S0381,ICD11,eye discharge and tears,ICD11:MC14,close,High,1,close,1,close,1,close
S0382,ICD11,Constipation,ICD11:ME05.0,exact,High,1,exact,1,exact,1,exact
S0383,ICD11,Reflex tearing,ICD11:9A61,exact,inherited,1,exact,1,exact,1,exact
S0384,ICD11,Vulvodynia,ICD11:GA34.02,exact,High,1,exact,1,exact,1,exact
S0385,ICD11,Diplopia,ICD11:MB44,exact,inherited,1,exact,1,exact,1,exact
S0386,ICD11,Shoulder dystocia,ICD11:JB06,exact,inherited,1,exact,1,exact,1,exact
S0387,ICD11,Hematuria,ICD11:MF50.4,exact,inherited,1,exact,1,exact,1,exact
S0388,ICD11,Retinal degeneration,ICD11:9A79,exact,inherited,1,exact,1,exact,1,exact
S0389,ICD11,Progressive forgetfulness,ICD11:MB21.10,exact,inherited,1,exact,1,exact,1,exact
S0390,ICD11,Chest pain,ICD11:MD30.Z,exact,inherited,1,exact,1,exact,1,exact
S0391,ICD11,Menorrhagia,ICD11:GA20.50,exact,inherited,1,exact,1,exact,1,exact
S0392,ICD11,Lip fissure,ICD11:DA00.3,exact,High,1,exact,1,exact,1,exact
S0393,ICD11,Dyspnea,ICD11:MD11.5,exact,inherited,1,exact,1,exact,1,exact
S0394,ICD11,Palpitations,ICD11:MC81.3,exact,High,1,exact,1,exact,1,exact
S0395,ICD11,Red eye,ICD11:9A61,exact,inherited,1,exact,1,exact,1,exact
S0396,ICD11,Pain in penis,ICD11:MF40.00,exact,High,1,exact,1,exact,1,exact
S0397,ICD11,Fast-growing nails,ICD11:DA01.Y,exact,inherited,1,exact,1,exact,1,exact
S0398,ICD11,Insomnia,ICD11:7A00,exact,inherited,1,exact,1,exact,1,exact
S0399,ICD11,suspiciousness,ICD11:MB26.9,exact,High,1,exact,1,exact,1,exact
S0400,ICD11,palpitations,ICD11:MC81.2,exact,High,1,exact,1,exact,1,exact
S0401,ICD11,Fatigue,ICD11:MG22,exact,High,1,exact,1,exact,1,exact
S0402,ICD11,Chills,ICD11:MG21,exact,High,1,exact,1,exact,1,exact
S0403,ICD11,Headache,ICD11:8A80,exact,inherited,1,exact,1,exact,1,exact
S0404,ICD11,polyuria,ICD11:MF55,exact,High,1,exact,1,exact,1,exact
S0405,ICD11,Recurrent singultus,ICD11:MD95,exact,inherited,1,exact,1,exact,1,exact
S0406,ICD11,macrocephaly,ICD11:LB70.3,exact,High,1,exact,1,exact,1,exact
S0407,ICD11,Nausea,ICD11:MD90,exact,inherited,1,exact,1,exact,1,exact
S0408,ICD11,Palpitations,ICD11:MC81.3,exact,High,1,exact,1,exact,1,exact
S0409,ICD11,Trigeminal neuralgia,ICD11:8B82.0,exact,High,1,exact,1,exact,1,exact
S0410,ICD11,Spasticity,ICD11:8A68.Z,exact,inherited,1,exact,1,exact,1,exact
S0411,ICD11,Sneeze,ICD11:MD11.9,exact,inherited,1,exact,1,exact,1,exact
S0412,ICD11,amenorrhea with galactorrhea,ICD11:GA20.0,exact,inherited,1,exact,1,exact,1,exact
S0413,ICD11,Chills,ICD11:MG21,exact,High,1,exact,1,exact,1,exact
S0414,ICD11,Pain,ICD11:FB56.Z,exact,inherited,1,exact,1,exact,1,exact
S0415,ICD11,Ear pain,ICD11:MC92.Y,exact,inherited,1,exact,1,exact,1,exact
S0416,ICD11,Hyposmia,ICD11:MB41.3,exact,High,1,exact,1,exact,1,exact
S0417,ICD11,Blindness,ICD11:9D90.6,exact,High,1,exact,1,exact,1,exact
S0418,ICD11,Xerostomia,ICD11:DA02.1,exact,inherited,1,exact,1,exact,1,exact
S0419,ICD11,Kyphosis,ICD11:FA70.0,exact,High,1,exact,1,exact,1,exact
S0420,ICD11,Hematochezia,ICD11:ME24.A,exact,inherited,1,exact,1,exact,1,exact
S0421,ICD11,Oligomenorrhea,ICD11:GA20.0,exact,inherited,1,exact,1,exact,1,exact
