symptom_localname,symptom_zh,symptom_en,hpo_id,hpo_term,mapType
sx_腹中包块推之可移,腹中包块推之可移,mobile abdominal mass,HP:6001311,,close
sx_视定反动,视定反动,seeing stationary objects as moving,HP:0030511,,close
sx_头晕,头晕,Vertigo,HP:0002321,,exact
sx_鼻头明润,鼻头明润,moist lustrous nasal tip,HP:0000455,,close
sx_鼻头明润,鼻头明润,moist lustrous nasal tip,HP:0011832,,close
sx_无脉,无脉,absent pulse,HP:0032554,,close
sx_无脉,无脉,absent pulse,HP:0031271,,close
sx_鼻衄,鼻衄,nosebleed,HP:0000421,,exact
sx_鼻衄,鼻衄,nosebleed,HP:0004406,,close
sx_颈部臖核疼痛,颈部臖核疼痛,painful neck nodules,HP:0030833,,close
sx_眼突,眼突,exophthalmos,HP:0000520,,exact
sx_肢体赓弱,肢体赓弱,limb weakness,HP:0003484,,close
sx_肢体赓弱,肢体赓弱,limb weakness,HP:0025406,,close
sx_肢体赓弱,肢体赓弱,limb weakness,HP:0003690,,close
sx_头发灰暗,头发灰暗,dull gray hair,HP:0002218,,close
sx_颈痛,颈痛,Neck pain,HP:0030833,,exact
sx_脉代,脉代,Intermittent (replacement) pulse,HP:0031796,,close
sx_黑便,黑便,Head titubation,HP:0002599,,exact
sx_尿黄,尿黄,yellow urine,HP:0040321,,close
sx_右下腹包块,右下腹包块,right lower abdominal mass,HP:0031500,,close
sx_带下如豆渣状,带下如豆渣状,bean-curd-dreg-like vaginal discharge,HP:0034269,,close
sx_麻木,麻木,Fatigable weakness,HP:0003473,,exact
sx_目光呆滞,目光呆滞,dull stare,HP:0025282,,close
sx_舌胖大,舌胖大,Enlarged (puffy) tongue,HP:0000158,,close
sx_关节红肿,关节红肿,Red joint swelling,HP:0001386,,close
sx_关节红肿,关节红肿,Red joint swelling,HP:0005833,,close
sx_牙齿松动,牙齿松动,Abnormality of the dentition,HP:0000164,,exact
sx_趾间湿烂,趾间湿烂,Interdigital-space-(toe) wet erosion,HP:0100888,,close
sx_身热不甚,身热不甚,mild fever,HP:0011134,,exact
sx_口气臭,口气臭,foul breath,HP:0100812,,close
sx_舌红,舌红,Abnormal tongue physiology,HP:0030810,,exact
sx_晶珠半脱,晶珠半脱,partial lens dislocation (subluxation),HP:0001083,,close
sx_晶珠半脱,晶珠半脱,partial lens dislocation (subluxation),HP:0030043,,close
sx_晶珠半脱,晶珠半脱,partial lens dislocation (subluxation),HP:0004269,,close
sx_臂痛,臂痛,Upper limb pain,HP:0012513,,exact
sx_悬雍下垂,悬雍下垂,uvula ptosis,HP:0010292,,close
sx_悬雍下垂,悬雍下垂,uvula ptosis,HP:0010811,,close
sx_鼻息,鼻息,nasal flaring sound,HP:0030863,,close
sx_鼻息,鼻息,nasal flaring sound,HP:6000078,,close
sx_鼻息,鼻息,nasal flaring sound,HP:0100582,,close
sx_阴囊疼痛,阴囊疼痛,scrotal pain,HP:0030155,,exact
sx_手足瘛纵,手足瘛纵,spasmodic movement of hands and feet,HP:0200113,,close
sx_喉中痰鸣,喉中痰鸣,Stridor,HP:0010307,,close
sx_复视,复视,Diplopia,HP:0000651,,exact
sx_口苦,口苦,Abnormality of taste sensation,HP:0000223,,close
sx_皮疹脱屑,皮疹脱屑,scaling rash,HP:0000988,,close
sx_腹部凹陷,腹部凹陷,scaphoid abdomen,HP:0025063,,exact
sx_皮肤鳞屑,皮肤鳞屑,Skin scale,HP:0040189,,close
sx_皮肤鳞屑,皮肤鳞屑,Skin scale,HP:0040190,,close
sx_指甲色灰,指甲色灰,Gray nail,HP:0001821,,close
sx_嗳气,嗳气,Recurrent singultus,HP:0100247,,exact
sx_腹中包块柔软,腹中包块柔软,soft abdominal mass,HP:0031500,,close
sx_腹中包块柔软,腹中包块柔软,soft abdominal mass,HP:6001311,,close
sx_腹中包块柔软,腹中包块柔软,soft abdominal mass,HP:6001312,,close
sx_肿瘤表面与皮肤粘连,肿瘤表面与皮肤粘连,tumor surface adhering to the skin,HP:0008069,,close
sx_口腔黏膜鲜红,口腔黏膜鲜红,Bright red oral mucosa,HP:0034418,,close
sx_带下量多,带下量多,profuse vaginal discharge,HP:0034269,,close
sx_口撮,口撮,pursed lips,HP:0000205,,exact
sx_口撮,口撮,pursed lips,HP:0100788,,close
sx_髋部生痈,髋部生痈,hip abscess,HP:0025615,,close
sx_眼睑痛,眼睑痛,Eyelid pain,HP:0034808,,exact
sx_眼睑痛,眼睑痛,Eyelid pain,HP:0200026,,close
sx_下肢冷,下肢冷,coldness of lower limbs,HP:0033850,,close
sx_鼻准红赤,鼻准红赤,red nasal tip,HP:0000455,,close
sx_鼻准红赤,鼻准红赤,red nasal tip,HP:0000437,,close
sx_皮肤见白色细纹,皮肤见白色细纹,white fine lines on the skin,HP:0040190,,close
sx_指甲色白,指甲色白,White nail,HP:0001799,,close
sx_小便急迫,小便急迫,urgent urination,HP:0000012,,close
sx_鱼际脉络黑,鱼际脉络黑,Black thenar-eminence vessels and collaterals,HP:0001245,,close
sx_绞痛,绞痛,Angina pectoris,HP:0001681,,exact
sx_皮肤麻木,皮肤麻木,Skin numbness,HP:0033748,,close
sx_脐流脓水,脐流脓水,pus discharge from umbilicus,HP:6001416,,close
sx_肉芽色淡,肉芽色淡,pale granulation tissue,HP:6000956,,close
sx_嬉笑无常,嬉笑无常,inappropriate laughing,HP:0000748,,close
sx_睡中流涎,睡中流涎,drooling during sleep,HP:5200283,,close
sx_手麻,手麻,hand numbness,HP:0033748,,close
sx_气喘息粗,气喘息粗,Dyspnea,HP:0002094,,exact
sx_月经间期阴道流血,月经间期阴道流血,intermenstrual vaginal bleeding,HP:0100608,,close
sx_月经间期阴道流血,月经间期阴道流血,intermenstrual vaginal bleeding,HP:0034263,,close
sx_腹痛,腹痛,Abdominal pain,HP:0002027,,exact
sx_苔厚,苔厚,Fast-growing nails,HP:0030806,,exact
sx_咽喉部肌膜干萎,咽喉部肌膜干萎,dry atrophic pharyngeal mucosa,HP:0040413,,close
sx_精液量多,精液量多,profuse semen,HP:0005587,,close
sx_发热,发热,Fever,HP:0001945,,exact
sx_带下色黄,带下色黄,yellow vaginal discharge,HP:0034269,,close
sx_手颤,手颤,hand tremor,HP:0002378,,exact
sx_手颤,手颤,hand tremor,HP:0002346,,close
sx_肛门异物感,肛门异物感,foreign-body sensation in the anus,HP:0034804,,close
sx_肛门异物感,肛门异物感,foreign-body sensation in the anus,HP:0034806,,close
sx_牙齿缺蚀,牙齿缺蚀,eroded teeth,HP:0000692,,close
sx_牙齿缺蚀,牙齿缺蚀,eroded teeth,HP:0000678,,close
sx_冷痛,冷痛,Pain,HP:0012531,,close
sx_四肢抽搐,四肢抽搐,Spasticity,HP:0001257,,exact
sx_带下清稀,带下清稀,thin and clear vaginal discharge,HP:0034269,,close
sx_发癫,发癫,depressive episode (dian),HP:0000716,,exact
sx_皮疹不红,皮疹不红,Red rash,HP:0000988,,close
sx_皮疹不红,皮疹不红,Red rash,HP:4000054,,close
sx_手掌脱皮,手掌脱皮,peeling palms,HP:0025819,,close
sx_握力减弱,握力减弱,decreased grip strength,HP:0003484,,close
sx_握力减弱,握力减弱,decreased grip strength,HP:0033466,,close
sx_鼻塞,鼻塞,Nasal congestion,HP:0001742,,exact
sx_啮齿,啮齿,teeth grinding (bruxism),HP:0003763,,exact
sx_疤痕色黑,疤痕色黑,Black scar,HP:6000793,,close
sx_舌体强硬,舌体强硬,Tongue-body stiffness and rigidity,HP:0031373,,close
sx_鼻肿,鼻肿,nasal swelling,HP:0012720,,close
sx_鼻肿,鼻肿,nasal swelling,HP:0001785,,close
sx_咳嗽,咳嗽,Cough,HP:0012735,,exact
sx_皮疹稀疏,皮疹稀疏,sparse rash,HP:0000988,,close
sx_精索结节,精索结节,nodule of spermatic cord,HP:0100813,,close
sx_鼻腔异物,鼻腔异物,foreign body in the nasal cavity,HP:0010640,,close
sx_血尿,血尿,Hematuria,HP:0000790,,exact
sx_目上视,目上视,upward deviation of eyes,HP:0100498,,close
sx_目上视,目上视,upward deviation of eyes,HP:0025586,,close
sx_皮疹色红,皮疹色红,Skin rash,HP:0000988,,exact
sx_身麻,身麻,body numbness,HP:0033748,,close
sx_带下如水,带下如水,watery vaginal discharge,HP:0034269,,close
sx_热势起伏,热势起伏,fluctuating fever,HP:0031914,,close
sx_经期延长,经期延长,Menometrorrhagia,HP:0400008,,close
sx_带下如泡沫状,带下如泡沫状,foamy vaginal discharge,HP:0034269,,close
sx_牙眼痛,牙眼痛,pain at gum margin,HP:0200026,,close
sx_肉芽烧灼感,肉芽烧灼感,burning sensation of granulation tissue,HP:6000420,,close
sx_肉芽烧灼感,肉芽烧灼感,burning sensation of granulation tissue,HP:6000956,,close
sx_腹内包块,腹内包块,intra-abdominal mass,HP:0031500,,close
sx_腹内包块,腹内包块,intra-abdominal mass,HP:0033134,,close
sx_口中流涎淋漓,口中流涎淋漓,profuse drooling,HP:0002307,,close
sx_头发卷曲,头发卷曲,curly hair,HP:0002212,,exact
sx_视物不清,视物不清,blurred vision,HP:0000622,,exact
sx_视物不清,视物不清,blurred vision,HP:0001125,,close
sx_流冷泪,流冷泪,cold tearing,HP:0009926,,close
sx_流冷泪,流冷泪,cold tearing,HP:0033705,,close
sx_手肿,手肿,hand swelling,HP:0001785,,close
sx_小便浑浊,小便浑浊,turbid urine,HP:0031967,,exact
sx_游走痛,游走痛,Migratory pain,HP:0025279,,close
sx_游走痛,游走痛,Migratory pain,HP:0033037,,close
sx_皮疹搔破出血,皮疹搔破出血,rash bleeding after scratching,HP:0034264,,close
sx_视歧,视歧,diplopia,HP:0000651,,exact
sx_鼻尖肿起,鼻尖肿起,swollen nasal tip,HP:0005278,,close
sx_鼻尖肿起,鼻尖肿起,swollen nasal tip,HP:0000455,,close
sx_鼻尖肿起,鼻尖肿起,swollen nasal tip,HP:0011832,,close
sx_皮肤暗黄,皮肤暗黄,Dull-yellow skin,HP:0000952,,close
sx_雀目,雀目,night blindness (sparrow eye),HP:0007675,,close
sx_雀目,雀目,night blindness (sparrow eye),HP:0000662,,exact
sx_雀目,雀目,night blindness (sparrow eye),HP:0007642,,close
sx_黑睛星鬓,黑睛星鬓,star-like corneal opacities,HP:0007957,,close
sx_黑睛星鬓,黑睛星鬓,star-like corneal opacities,HP:0008039,,close
sx_呃声高亢,呃声高亢,high-pitched hiccup,HP:0025430,,close
sx_呃声高亢,呃声高亢,high-pitched hiccup,HP:6000633,,close
sx_鼻头红,鼻头红,Red tip-of-nose,HP:0011831,,close
sx_啮齿有声,啮齿有声,audible teeth grinding,HP:0003763,,close
sx_臂麻,臂麻,Arm numbness,HP:0033748,,close
sx_腹大如鼓,腹大如鼓,drum-like abdominal distension,HP:0003270,,close
sx_久不欲食,久不欲食,chronic poor appetite,HP:0004396,,close
sx_呕吐苦水,呕吐苦水,vomiting of bitter fluid,HP:0002248,,close
sx_腹中包块坚硬,腹中包块坚硬,hard abdominal mass,HP:0031500,,close
sx_腹中包块坚硬,腹中包块坚硬,hard abdominal mass,HP:6001311,,close
sx_腹中包块坚硬,腹中包块坚硬,hard abdominal mass,HP:6001312,,close
sx_带下腐臭,带下腐臭,putrid vaginal discharge,HP:0034269,,close
sx_嗳气低弱,嗳气低弱,weak belching,HP:6000064,,close
sx_唇裂,唇裂,Lip fissure,HP:0031250,,close
sx_舌麻,舌麻,numbness of tongue,HP:0033748,,close
sx_皮肤花斑,皮肤花斑,mottled skin,HP:0001070,,close
sx_口中流涎稠粘,口中流涎稠粘,thick sticky drooling,HP:0002307,,close
sx_脊柱歪斜,脊柱歪斜,scoliosis (spinal deviation),HP:0004626,,close
sx_脊柱歪斜,脊柱歪斜,scoliosis (spinal deviation),HP:0002650,,exact
sx_脊柱歪斜,脊柱歪斜,scoliosis (spinal deviation),HP:0002944,,close
sx_带下秽浊,带下秽浊,turbid and filthy vaginal discharge,HP:0034269,,close
sx_嗳气响亮,嗳气响亮,loud belching,HP:6000064,,close
sx_瞳神倚侧,瞳神倚侧,deviated pupil,HP:0011499,,close
sx_鱼际脉络红赤,鱼际脉络红赤,Red thenar-eminence vessels and collaterals,HP:0001245,,close
sx_臖核结块推之不移,臖核结块推之不移,immobile xinghe lump,HP:0025760,,close
sx_视野窄缩,视野窄缩,narrowing of visual field,HP:0007981,,close
sx_视野窄缩,视野窄缩,narrowing of visual field,HP:0001133,,close
sx_视野窄缩,视野窄缩,narrowing of visual field,HP:0001123,,close
sx_腹部冷,腹部冷,Abdominal symptom,HP:0011458,,exact
sx_囟门突起,囟门突起,bulging fontanelle,HP:6000647,,exact
sx_囟门突起,囟门突起,bulging fontanelle,HP:0005486,,close
sx_吐舌,吐舌,protruding tongue,HP:0010808,,exact
sx_吐舌,吐舌,protruding tongue,HP:0100703,,close
sx_大便脓血,大便脓血,pus and blood in stool,HP:0025085,,close
sx_嗳气酸馊,嗳气酸馊,sour belching,HP:6000064,,close
sx_皮肤㿠白,皮肤㿠白,bright pale-white skin,HP:0040190,,close
sx_水疱壁薄,水疱壁薄,thin-walled blisters,HP:0008066,,close
sx_头发直立,头发直立,erect hair,HP:0002297,,close
sx_背冷,背冷,coldness of the back,HP:0033850,,close
sx_头皮下肿块,头皮下肿块,subcutaneous scalp mass,HP:0034246,,close
sx_赘皮柔软,赘皮柔软,Skin tag/redundant skin softness,HP:0001582,,close
sx_赘皮柔软,赘皮柔软,Skin tag/redundant skin softness,HP:0007516,,close
sx_臖核结块推之可移,臖核结块推之可移,mobile xinghe lump,HP:0025759,,close
sx_口噤,口噤,Trismus,HP:0000211,,exact
sx_尿中夹血块,尿中夹血块,blood clots in urine,HP:0000790,,close
sx_唇部疤疹,唇部疤疹,lip herpes,HP:0020098,,close
sx_牙龈萎缩,牙龈萎缩,Gum atrophy,HP:0006308,,close
sx_肋痛,肋痛,rib pain,HP:0006649,,close
sx_皮肤濡软,皮肤濡软,soft soggy skin,HP:0000977,,close
sx_齿全脱,齿全脱,complete loss of teeth,HP:0006480,,close
sx_纳谷不馨,纳谷不馨,Poor appetite,HP:0004396,,exact
sx_带下如脓,带下如脓,Vaginal discharge resembling pus,HP:0034269,,close
sx_咽喉异物感,咽喉异物感,Throat foreign-body sensation,HP:0034806,,close
sx_咽喉异物感,咽喉异物感,Throat foreign-body sensation,HP:0034804,,close
sx_唇现蓝色,唇现蓝色,bluish lips,HP:0034030,,exact
sx_舌有裂纹,舌有裂纹,fissured tongue,HP:0000221,,exact
sx_皮肤红斑,皮肤红斑,Erythematous macule,HP:0025475,,close
sx_声音嘶哑,声音嘶哑,Hoarse voice,HP:0001609,,close
sx_腰痛连足,腰痛连足,low back pain radiating to the foot,HP:0003419,,close
sx_得食痛增,得食痛增,pain aggravated by eating,HP:0025286,,close
sx_皮疹稠密,皮疹稠密,dense rash,HP:0000988,,close
sx_咽部紧缩感,咽部紧缩感,tightening sensation in the pharynx,HP:0031352,,close
sx_骨擦音,骨擦音,bone crepitus,HP:0034431,,close
sx_骨擦音,骨擦音,bone crepitus,HP:0012479,,close
sx_皮肤棕色,皮肤棕色,brown skin,HP:0000957,,close
sx_小便失禁,小便失禁,Urinary incontinence,HP:0000020,,exact
sx_阴户痛,阴户痛,Vulvodynia,HP:0030943,,exact
sx_指关节增粗,指关节增粗,Finger joint thickening,HP:0006094,,close
sx_精索增粗,精索增粗,Spermatic-cord thickening,HP:0100813,,close
sx_咽痒,咽痒,Pharyngeal itching,HP:0034035,,close
sx_水疱澄清,水疱澄清,Blister (vesicle) clear,HP:0008066,,close
sx_上腭血疱,上腭血疱,Palate blood blister,HP:0008066,,close
sx_带下色红,带下色红,Red vaginal discharge,HP:0034269,,close
sx_四肢拘急,四肢拘急,Limb joint contracture,HP:0003121,,close
sx_口腔血疱,口腔血疱,Oral blood blister,HP:0008066,,close
sx_牙齿脱落,牙齿脱落,Teeth falling off,HP:0006480,,close
sx_脓腥臭,脓腥臭,Pus fishy odor,HP:0410020,,close
sx_指甲色黑,指甲色黑,Black nail,HP:0001821,,close
sx_言语赛涩,言语赛涩,stuttering sluggish speech,HP:0002465,,close
sx_鼻痛,鼻痛,Abnormality of the nose,HP:0000366,,exact
sx_口腔黏膜斑,口腔黏膜斑,Oral mucosa macule,HP:6001110,,close
sx_口腔黏膜斑,口腔黏膜斑,Oral mucosa macule,HP:0034418,,close
sx_睛珠突胀,睛珠突胀,protruding distending eyeball,HP:0000528,,close
sx_齿衄,齿衄,Gingival bleeding,HP:0000225,,exact
sx_苔有裂纹,苔有裂纹,fissured tongue coating,HP:0000221,,close
sx_四肢震颤,四肢震颤,Tremor,HP:0001337,,exact
sx_水疱壁厚,水疱壁厚,thick-walled blisters,HP:0008066,,close
sx_龟头破烂,龟头破烂,broken eroded glans penis,HP:0034438,,close
sx_睡中啮齿,睡中啮齿,teeth grinding during sleep (sleep bruxism),HP:0003763,,close
sx_腹部生痈,腹部生痈,abdominal abscess,HP:0025181,,close
sx_转筋,转筋,Muscle cramp,HP:0003394,,close
sx_交替性鼻塞,交替性鼻塞,alternating nasal obstruction,HP:0004796,,close
sx_耳廓痛,耳廓痛,Auricular pain,HP:0030021,,close
sx_耳廓痛,耳廓痛,Auricular pain,HP:0008608,,close
sx_耳廓痛,耳廓痛,Auricular pain,HP:0030025,,close
sx_头摇,头摇,Head tremor,HP:0002346,,exact
sx_偏头痛,偏头痛,Migraine,HP:0002076,,exact
sx_月经提前,月经提前,Polymenorrhea,HP:0400007,,exact
sx_羞明,羞明,Photophobia,HP:0000613,,exact
sx_阴毛脱落,阴毛脱落,loss of pubic hair,HP:0100133,,close
sx_阴毛脱落,阴毛脱落,loss of pubic hair,HP:0002225,,close
sx_阴毛脱落,阴毛脱落,loss of pubic hair,HP:0002555,,close
sx_阴囊透光阳性,阴囊透光阳性,positive scrotal transillumination,HP:6001424,,close
sx_水疱晶亮,水疱晶亮,crystal-clear blisters,HP:0008066,,close
sx_指甲菲薄腐烂,指甲菲薄腐烂,thin fragile eroded nail,HP:0001816,,close
sx_睑不能闭,睑不能闭,inability to close the eyelid (lagophthalmos),HP:0030002,,close
sx_睑不能闭,睑不能闭,inability to close the eyelid (lagophthalmos),HP:0030001,,exact
sx_阴茎短小,阴茎短小,small penis (micropenis),HP:0000054,,exact
sx_睡眠表浅,睡眠表浅,light sleep,HP:5200304,,close
sx_带下气腥,带下气腥,fishy vaginal discharge,HP:0034269,,close
sx_项强,项强,neck stiffness,HP:0025258,,exact
sx_带下绵绵不绝,带下绵绵不绝,endless continuous vaginal discharge,HP:0034269,,close
sx_疮面肉色晦暗,疮面肉色晦暗,Abnormality of the face,HP:0000271,,exact
