symptom_localname,symptom_zh,symptom_en,icd11_id,icd11_term,mapType
sx_嗜睡,嗜睡,Lethargy,SF97,Kidney yang deficiency pattern (TM1),close
sx_口臭,口臭,Halitosis,MD95,Halitosis,exact
sx_痔核灰白,痔核灰白,gray-white hemorrhoidal nodule,SF7C,Stomach qi deficiency pattern (TM1),close
sx_呕吐酸水,呕吐酸水,vomiting of sour fluid,MD90.1,Vomiting,close
sx_甲向内嵌,甲向内嵌,ingrown nail,XA6Q52,Nail,close
sx_牙龈青紫,牙龈青紫,bluish-purple gums,SF01,Blood stasis pattern (TM1),close
sx_牙龈青紫,牙龈青紫,bluish-purple gums,SF55,Liver depression and blood stasis pattern (TM1),close
sx_肛周皮下痰道,肛周皮下痰道,subcutaneous tract around anus,XA0D34,Anus,close
sx_手掌角化,手掌角化,palmar keratinization,XA10U4,Palmar aponeurosis,close
sx_指纹色青,指纹色青,Bluish infantile finger venules,ED80.6,Infantile acne,close
sx_酸痛,酸痛,Aching pain,SE90,Qi deficiency pattern (TM1),close
sx_酸痛,酸痛,Aching pain,SR1T,Blood deficiency pattern (TM2),close
sx_皮肤增厚,皮肤增厚,Thickened skin,SF04,Blood dryness pattern (TM1),close
sx_足跟痛,足跟痛,Foot pain,SF5H,Liver and kidney yin deficiency pattern (TM1),close
sx_咳如犬吠,咳如犬吠,barking cough,MD12,Cough,close
sx_乳蛾脓点,乳蛾脓点,tonsillar pus points,XA46Z4,Tonsillar fossa,close
sx_乳蛾脓点,乳蛾脓点,tonsillar pus points,1F20.13,Tonsillar aspergillosis,close
sx_皮峪隆起,皮峪隆起,Skin-ridges bulging,XM6J14,"Protectant, skin",close
sx_皮峪隆起,皮峪隆起,Skin-ridges bulging,ME65.3,Stinging of skin,close
sx_皮峪隆起,皮峪隆起,Skin-ridges bulging,ME65.1,Itching of skin,close
sx_大便腐臭,大便腐臭,putrid stool,XE484,Stool,close
sx_腰脊痛,腰脊痛,lumbosacral pain,8B92.3,Lumbosacral radiculoplexopathy,close
sx_皮肤苔癣,皮肤苔癣,lichenified skin,ME63.5,Chronic lichenified skin disorder,close
sx_鼻柱溃陷,鼻柱溃陷,collapsed nasal columella,XA4S17,Columella,close
sx_鼻柱溃陷,鼻柱溃陷,collapsed nasal columella,XA8817,Nasal turbinate,close
sx_肩凝,肩凝,frozen shoulder,SP15,Frozen shoulder disorder (TM2),close
sx_神水浑浊,神水浑浊,turbid aqueous humor,SF5H,Liver and kidney yin deficiency pattern (TM1),close
sx_拘急肉跳,拘急肉跳,cramping with muscle twitching,SF00,Blood deficiency pattern (TM1),close
sx_拘急肉跳,拘急肉跳,cramping with muscle twitching,SR1T,Blood deficiency pattern (TM2),close
sx_肛门结节柔软,肛门结节柔软,soft anal nodule,SK6T,Phlyctenular nodule disorder (TM2),close
sx_耳聋,耳聋,Severe hearing impairment,AB52,Deafness,exact
sx_胸痛,胸痛,Chest pain,MD30.Z,Chest pain,exact
sx_脐红,脐红,umbilical redness,XA0VZ0,Umbilical artery,close
sx_脐红,脐红,umbilical redness,XA3L42,Umbilical cord,close
sx_脐红,脐红,umbilical redness,DD53,Umbilical hernia,close
sx_牙龈淡白,牙龈淡白,pale gums,SE90,Qi deficiency pattern (TM1),close
sx_牙龈淡白,牙龈淡白,pale gums,SR1T,Blood deficiency pattern (TM2),close
sx_牙龈淡白,牙龈淡白,pale gums,SF00,Blood deficiency pattern (TM1),close
sx_脓稀薄,脓稀薄,Pus thin (watery),SF62,Dual deficiency of heart qi and blood pattern (TM1),close
sx_妊娠腹痛,妊娠腹痛,abdominal pain during pregnancy,JA01.0,Abdominal pregnancy,close
sx_皮肤色黑,皮肤色黑,Black skin,SN4J,Black red skin lesion disorder (TM2),close
sx_皮肤色黑,皮肤色黑,Black skin,XM08L6,Afghanistan black,close
sx_舌下痰包,舌下痰包,sublingual phlegm mass (ranula),XA7K99,Sublingual vein,close
sx_包茎,包茎,Phimosis,GB05.2,Phimosis,exact
sx_包茎,包茎,Phimosis,SN0A,Phimosis disorder (TM2),close
sx_包茎,包茎,Phimosis,GB05.Z,"Redundant prepuce, phimosis or paraphimosis, unspecified",close
sx_虚里动微不显,虚里动微不显,faint and invisible xuli (apical) pulsation,XE50Y,Pressure cooker,close
sx_皮疹色褐,皮疹色褐,Brown rash,ME66.6Z,"Rash, unspecified",close
sx_阵发痛,阵发痛,Episodic pain,XT7X,Episodic,close
sx_上肢萎缩,上肢萎缩,Upper limb amyotrophy,LB97.2,Upper limb hypertrophy,close
sx_上肢萎缩,上肢萎缩,Upper limb amyotrophy,8B60.6,Monomelic amyotrophy,close
sx_睾丸疼痛,睾丸疼痛,Testicular pain,MF40.21,Testicular pain,exact
sx_圆背,圆背,Round back (kyphotic posture),XA2P90,Back,close
sx_肿块坚实,肿块坚实,firm mass,SF01,Blood stasis pattern (TM1),close
sx_呕而无声,呕而无声,soundless vomiting (retching),MD90.1,Vomiting,close
sx_呕而无声,呕而无声,soundless vomiting (retching),SF77,Spleen yang deficiency pattern (TM1),close
sx_恶心,恶心,Nausea,MD90,Nausea or vomiting,exact
sx_四肢麻木,四肢麻木,numbness of limbs,SC62,Numbness disorder (TM1),close
sx_四肢麻木,四肢麻木,numbness of limbs,SK54,Numbness disorder (TM2),close
sx_四肢麻木,四肢麻木,numbness of limbs,LD26.3,Syndromes with synostoses of limbs,close
sx_脓色绿,脓色绿,Green pus,XM2818,Indocyanine green,close
sx_脓色绿,脓色绿,Green pus,XM3Y82,Green soap,close
sx_脓色绿,脓色绿,Green pus,XM9BG0,Green bean,close
sx_晶珠混浊,晶珠混浊,cloudy lens (cataract),SF7M,Spleen and kidney yang deficiency pattern (TM1),close
sx_晶珠混浊,晶珠混浊,cloudy lens (cataract),SF6M,Heart and kidney yang deficiency pattern (TM1),close
sx_晶珠混浊,晶珠混浊,cloudy lens (cataract),SF97,Kidney yang deficiency pattern (TM1),close
sx_前囟宽大,前囟宽大,wide anterior fontanelle,XK7V,Anterior,close
sx_矢气臭秽,矢气臭秽,foul flatus,SC21,Vaginal flatus disorder (TM1),close
sx_皮疹淡红,皮疹淡红,Light red rash,ME66.6Z,"Rash, unspecified",close
sx_鼻不闻香臭,鼻不闻香臭,Anosmia,MB41.0,Anosmia,exact
sx_鼻不闻香臭,鼻不闻香臭,Anosmia,SK91,Anosmia disorder (TM2),close
sx_头昏,头昏,dizziness,MB48.2,Exertional dizziness,close
sx_目眦角疼痛,目眦角疼痛,Canthus pain,XA0403,Lateral canthus,close
sx_目眦角疼痛,目眦角疼痛,Canthus pain,XA2GQ3,Medial canthus,close
sx_赘皮肿胀,赘皮肿胀,Skin tag/redundant skin swelling,ME66.2,Excess and redundant skin,close
sx_恶风,恶风,Chills,MG21,Chills,exact
sx_无根苔,无根苔,Rootless tongue coating,DA03.1,Geographic tongue,close
sx_倒睫拳毛,倒睫拳毛,Trichiasis,SK6E,Trichiasis disorder (TM2),close
sx_倒睫拳毛,倒睫拳毛,Trichiasis,9A04.0,Trichiasis without entropion,close
sx_舌破裂出血,舌破裂出血,Cracked and bleeding tongue,DA03.1,Geographic tongue,close
sx_胞睑色红,胞睑色红,red eyelid,MC15,Red eye,close
sx_臀部皮肤潮红,臀部皮肤潮红,flushed buttock skin,XM6J14,"Protectant, skin",close
sx_鱼际脉络青,鱼际脉络青,Bluish thenar-eminence vessels and collaterals,XA57N0,Malar eminence,close
sx_鱼际脉络青,鱼际脉络青,Bluish thenar-eminence vessels and collaterals,XA2JN4,Thenar eminence,close
sx_肿瘤浮浅,肿瘤浮浅,superficial tumor,XK7F,Superficial,close
sx_脓腐臭,脓腐臭,foul sloughing pus,SF9G,Bladder dampness-heat pattern (TM1),close
sx_脓腐臭,脓腐臭,foul sloughing pus,SF8G,Large intestine dampness heat pattern (TM1),close
sx_脓腐臭,脓腐臭,foul sloughing pus,SF5A,Liver-gallbladder dampness-heat pattern (TM1),close
sx_四肢软弱,四肢软弱,flaccidity of limbs,SF5H,Liver and kidney yin deficiency pattern (TM1),close
sx_足背溃破腐烂,足背溃破腐烂,ulcerated festering dorsum of foot,XA8BE2,Dorsum of foot,close
sx_足背溃破腐烂,足背溃破腐烂,ulcerated festering dorsum of foot,XA76N2,Dorsum of thumb,close
sx_疲乏,疲乏,Fatigue,MG22,Fatigue,exact
sx_干咳,干咳,Nonproductive cough,SF8D,Dryness invading the lung pattern (TM1),close
sx_干咳,干咳,Nonproductive cough,SF5M,Liver fire invading the lung system pattern (TM1),close
sx_神疲,神疲,mental fatigue,MG22,Fatigue,close
sx_耳轮皮肤甲错,耳轮皮肤甲错,squamous dry skin of helix,XA9A86,Crus of helix,close
sx_便如蛋汤,便如蛋汤,egg-soup-like stool,SF70,Spleen qi deficiency pattern (TM1),close
sx_舌痛,舌痛,Tongue pain,DA01.Y,Tongue disorder,exact
sx_鼻梁凹陷,鼻梁凹陷,Depressed nasal bridge,XA8817,Nasal turbinate,close
sx_结节柔软,结节柔软,Nodule softness,SK6T,Phlyctenular nodule disorder (TM2),close
sx_月经色淡,月经色淡,pale menstrual blood,SF77,Spleen yang deficiency pattern (TM1),close
sx_月经色淡,月经色淡,pale menstrual blood,SF7M,Spleen and kidney yang deficiency pattern (TM1),close
sx_牙龈色蓝,牙龈色蓝,blue gums,XM0BB1,Blue velvet,close
sx_牙龈色蓝,牙龈色蓝,blue gums,XM52J2,Heavenly Blue (morning glory),close
sx_健忘,健忘,Progressive forgetfulness,MB21.10,Memory deficit,exact
sx_目闭不开,目闭不开,inability to open the eyes,XE8L2,Inability to irrigate,close
sx_咳声洪亮,咳声洪亮,loud resonant cough,MD12,Cough,close
sx_疼痛,疼痛,Pain,FB56.2,,exact
sx_疼痛,疼痛,Pain,FB56.Z,Limb pain,exact
sx_麻木不仁,麻木不仁,numbness (loss of sensation),SK54,Numbness disorder (TM2),close
sx_麻木不仁,麻木不仁,numbness (loss of sensation),SC62,Numbness disorder (TM1),close
sx_脓液淋漓不止,脓液淋漓不止,incessant dripping of pus,SF00,Blood deficiency pattern (TM1),close
sx_脓液淋漓不止,脓液淋漓不止,incessant dripping of pus,SR1T,Blood deficiency pattern (TM2),close
sx_痈疮表面光软无头,痈疮表面光软无头,glossy soft headless abscess,GA05.3,Tuboovarian abscess,close
sx_朱砂掌,朱砂掌,cinnabar palms (palmar erythema),SF5H,Liver and kidney yin deficiency pattern (TM1),close
sx_朱砂掌,朱砂掌,cinnabar palms (palmar erythema),SF82,Lung and kidney yin deficiency pattern (TM1),close
sx_朱砂掌,朱砂掌,cinnabar palms (palmar erythema),SF93,Kidney yin deficiency pattern (TM1),close
sx_乏力,乏力,Malaise,MG22,Fatigue,exact
sx_肛门脱出物无蒂,肛门脱出物无蒂,sessile anal prolapse,DB53,Anal prolapse,close
sx_妊娠呕吐,妊娠呕吐,Hyperemesis gravidarum,JA60,Hyperemesis gravidarum,exact
sx_产后便秘,产后便秘,Constipation,ME05.0,Constipation,exact
sx_不欲饮食,不欲饮食,poor appetite,SF7M,Spleen and kidney yang deficiency pattern (TM1),close
sx_头部疖肿,头部疖肿,furuncle of head,1B75.0,Furuncle,close
sx_头部疖肿,头部疖肿,furuncle of head,SF9G,Bladder dampness-heat pattern (TM1),close
sx_食后呕吐,食后呕吐,vomiting after meals,MD90.1,Vomiting,close
sx_梦游,梦游,Sleep walking,VW13,Walking,close
sx_苔花剥,苔花剥,Geographic (patchy peeled) tongue coating,DA03.1,Geographic tongue,close
sx_睾丸表面光滑,睾丸表面光滑,smooth testicular surface,MF40.21,Testicular pain,close
sx_背恶寒,背恶寒,aversion to cold on the back,XA2P90,Back,close
sx_头部生疮疡,头部生疮疡,sores on the head,SF9G,Bladder dampness-heat pattern (TM1),close
sx_臖结块按之坚实,臖结块按之坚实,Xinghe nodule pressure lumping firmness,SK6T,Phlyctenular nodule disorder (TM2),close
sx_臖结块按之坚实,臖结块按之坚实,Xinghe nodule pressure lumping firmness,XE50Y,Pressure cooker,close
sx_驼背,驼背,Kyphosis,FA70.0,Kyphosis,exact
sx_驼背,驼背,Kyphosis,FC01.2,Post radiation kyphosis,close
sx_驼背,驼背,Kyphosis,FC01.3,Postlaminectomy kyphosis,close
sx_目痛,目痛,Ocular pain,MC94,Eye pain,exact
sx_呕吐,呕吐,Vomiting,MD90,Nausea or vomiting,exact
sx_眵黄,眵黄,yellow eye discharge,MC14,Eye discharge,close
sx_疮疡表面色黑,疮疡表面色黑,black sore surface,XM08L6,Afghanistan black,close
sx_眵绿,眵绿,green eye discharge,MC14,Eye discharge,close
sx_眵绿,眵绿,green eye discharge,XM2818,Indocyanine green,close
sx_性欲淡漠,性欲淡漠,Decreased libido,MB22.1,Decreased libido,exact
sx_体毛干枯,体毛干枯,Brittle hair,SF00,Blood deficiency pattern (TM1),close
sx_目眵结块,目眵结块,clumped eye discharge,MC14,Eye discharge,close
sx_牙龈硬肿,牙龈硬肿,hard swollen gums,XE7M5,"Puck, hard ball",close
sx_牙龈硬肿,牙龈硬肿,hard swollen gums,EH92.00,Hard corn,close
sx_牙龈硬肿,牙龈硬肿,hard swollen gums,XM3AW0,Hard metal dust,close
sx_喜食异物,喜食异物,pica (craving for foreign objects),6B84,Pica,exact
sx_喜食异物,喜食异物,pica (craving for foreign objects),SF79,Spleen deficiency with dampness accumulation pattern (TM1),close
sx_皮肤掀热,皮肤掀热,burning hot skin,ME65.0,Burning of skin,close
sx_皮肤掀热,皮肤掀热,burning hot skin,XE7PM,Burning oil,close
sx_背痛,背痛,Back pain,ME84.Z,Dorsalgia,exact
sx_畏寒,畏寒,aversion to cold,EB01.1,Cold urticaria,close
sx_牙龈暗黑,牙龈暗黑,dusky-black gums,XM08L6,Afghanistan black,close
sx_皮肤于燥,皮肤于燥,Skin dryness,SN42,Dryness of skin disorder (TM2),close
sx_皮肤于燥,皮肤于燥,Skin dryness,SF04,Blood dryness pattern (TM1),close
sx_皮肤于燥,皮肤于燥,Skin dryness,SE83,Dryness factor pattern (TM1),close
sx_沉默寡言,沉默寡言,silence and taciturnity,SF7M,Spleen and kidney yang deficiency pattern (TM1),close
sx_齿拔除,齿拔除,tooth extraction,JB23.0,Breech extraction,close
sx_呼吸急促,呼吸急促,Tachypnea,SF80,Lung qi deficiency pattern (TM1),close
sx_瘿肿随吞咽移动,瘿肿随吞咽移动,goiter moving with swallowing,SF50,Liver yin deficiency pattern (TM1),close
sx_瘿肿随吞咽移动,瘿肿随吞咽移动,goiter moving with swallowing,SF64,Heart yin deficiency pattern (TM1),close
sx_头闷,头闷,head stuffiness,SG80,Dampness obstructing the defense yang pattern (TM1),close
sx_口干,口干,Xerostomia,DA02.1,Xerostomia,exact
sx_闭经溢乳,闭经溢乳,amenorrhea with galactorrhea,GA20.0,Absence of menstruation,exact
sx_眼干燥,眼干燥,Retinal degeneration,9A79,Dry eye syndrome,exact
sx_晶珠全脱,晶珠全脱,complete lens dislocation,9B11.1,Dislocation of lens,close
sx_经色深红,经色深红,deep-red menstrual blood,XK16,Deep,close
sx_暴盲,暴盲,sudden blindness,9D90.6,Blindness,close
sx_矢气作响,矢气作响,noisy flatus,SF72,Spleen deficiency with qi stagnation pattern (TM1),close
sx_周身酸软,周身酸软,generalized soreness and weakness,SE90,Qi deficiency pattern (TM1),close
sx_耳廓糜烂结痴,耳廓糜烂结痴,eroded crusted auricle,LA24,Accessory auricle,close
sx_耳廓糜烂结痴,耳廓糜烂结痴,eroded crusted auricle,NA0B,Injury of the auricle,close
sx_耳廓糜烂结痴,耳廓糜烂结痴,eroded crusted auricle,XA9E26,Skin of auricle,close
sx_肢体血肿,肢体血肿,limb hematoma,SF01,Blood stasis pattern (TM1),close
sx_人中色白,人中色白,White philtrum,XA5LY8,Philtrum,close
sx_水疱混浊,水疱混浊,turbid blisters,SF9G,Bladder dampness-heat pattern (TM1),close
sx_小腹坚满,小腹坚满,hard and full lower abdomen,MD81.3,Acute abdomen,close
sx_眼睑浮肿,眼睑浮肿,Periorbital fullness,SF70,Spleen qi deficiency pattern (TM1),close
sx_眼睑浮肿,眼睑浮肿,Periorbital fullness,SF77,Spleen yang deficiency pattern (TM1),close
sx_肠鸣音弱,肠鸣音弱,weak bowel sounds,ME03.1,Absent bowel sounds,close
sx_肠鸣音弱,肠鸣音弱,weak bowel sounds,ME03.0,Hyperactive bowel sounds,close
sx_肠鸣音弱,肠鸣音弱,weak bowel sounds,ME03.Z,"Abnormal bowel sounds, unspecified",close
sx_口腔黏膜青紫,口腔黏膜青紫,Bluish-purple oral mucosa,XA6NQ7,Oral mucosa,close
sx_唇紫红,唇紫红,Purplish-red lip,XM3R78,Lebanese red,close
sx_呛咳,呛咳,Choking cough,MD12,Cough,close
sx_肢体发绀,肢体发绀,limb cyanosis,ME64.1,Cyanosis,close
sx_肢体发绀,肢体发绀,limb cyanosis,SF57,Liver qi stagnation pattern (TM1),close
sx_肢体发绀,肢体发绀,limb cyanosis,SE91,Qi stagnation pattern (TM1),close
sx_精索筋脉如蚯蚓状,精索筋脉如蚯蚓状,earthworm-like vessels of spermatic cord (varicocele),XA5KK7,Spermatic Vein,close
sx_唇燥无皮,唇燥无皮,dry lips with peeling skin,ED53,Skin peeling,close
sx_胁痛,胁痛,Costochondral pain,MD81,Abdominal pain,close
sx_思虑无穷,思虑无穷,incessant overthinking,SF64,Heart yin deficiency pattern (TM1),close
sx_呃逆,呃逆,hiccup,SF7C,Stomach qi deficiency pattern (TM1),close
sx_牙龈高肿,牙龈高肿,Gum raised swelling,XM6DW9,Guar gum (medicinal),close
sx_黑睛积脓,黑睛积脓,corneal pus accumulation (hypopyon),SF5A,Liver-gallbladder dampness-heat pattern (TM1),close
sx_黑睛积脓,黑睛积脓,corneal pus accumulation (hypopyon),SF9G,Bladder dampness-heat pattern (TM1),close
sx_手软下垂,手软下垂,wrist drop (flaccid hand),FA31.3,Acquired wrist drop,close
sx_手软下垂,手软下垂,wrist drop (flaccid hand),SF7M,Spleen and kidney yang deficiency pattern (TM1),close
sx_肩耸,肩耸,shoulder shrugging,SF80,Lung qi deficiency pattern (TM1),close
sx_肩耸,肩耸,shoulder shrugging,SF90,Kidney qi deficiency pattern (TM1),close
sx_肩耸,肩耸,shoulder shrugging,SE90,Qi deficiency pattern (TM1),close
sx_妊娠眩晕,妊娠眩晕,Vertigo,MB48.0,Vertigo,exact
sx_四肢异常的活动,四肢异常的活动,Abnormal involuntary movements of limbs,MB46.Z,"Abnormal involuntary movements, unspecified",close
sx_四肢异常的活动,四肢异常的活动,Abnormal involuntary movements of limbs,MB46.Y,Other specified abnormal involuntary movements,close
sx_四肢异常的活动,四肢异常的活动,Abnormal involuntary movements of limbs,MB46.1,Abnormal head movements,close
sx_恶露紫暗,恶露紫暗,dark-purple lochia,SF01,Blood stasis pattern (TM1),close
sx_难产,难产,Shoulder dystocia,JB06,Obstructed labour,exact
sx_腹部青筋暴露,腹部青筋暴露,prominent blue vessels on the abdomen,SF5H,Liver and kidney yin deficiency pattern (TM1),close
sx_前囟凹陷,前囟凹陷,sunken anterior fontanelle,SF7M,Spleen and kidney yang deficiency pattern (TM1),close
sx_疮面愈后疤痕,疮面愈后疤痕,scar after sore healing,XE0HG,Residue after decontamination,close
sx_大便秘结,大便秘结,Constipation,SA57,Constipation disorder (TM1),close
sx_大便秘结,大便秘结,Constipation,ME05.0,Constipation,exact
sx_呼吸缓慢,呼吸缓慢,Hypoventilation,7A42.0,Obesity hypoventilation syndrome,close
sx_呼吸缓慢,呼吸缓慢,Hypoventilation,7A42.3,Idiopathic central alveolar hypoventilation,close
sx_头晕,头晕,Vertigo,MB48,Dizziness and giddiness,exact
sx_舌体痿软,舌体痿软,flaccid tongue body,DA03.1,Geographic tongue,close
sx_寒热往来无定时,寒热往来无定时,alternating chills and fever at irregular intervals,SD93,Alternating fever and chills disorder (TM1),close
sx_寒热往来无定时,寒热往来无定时,alternating chills and fever at irregular intervals,MG21,Chills,close
sx_叹息有声,叹息有声,audible sighing,SF53,Liver qi deficiency pattern (TM1),close
sx_叹息有声,叹息有声,audible sighing,SE90,Qi deficiency pattern (TM1),close
sx_目割,目割,scratching sensation in the eye,MC11,Eye sensation abnormal,close
sx_唇樱红,唇樱红,Cherry-red lip,XM0885,Cherry,close
sx_唇樱红,唇樱红,Cherry-red lip,XM3R78,Lebanese red,close
sx_指甲无泽,指甲无泽,Lusterless nail,XA6Q52,Nail,close
sx_指甲无泽,指甲无泽,Lusterless nail,EE10.4,Nail atrophy,close
sx_指甲无泽,指甲无泽,Lusterless nail,EE10.3,Nail hypertrophy,close
sx_肢体赓弱,肢体赓弱,limb weakness,SK55,Weakness of thighs due to vata disorder (TM2),close
sx_肢体赓弱,肢体赓弱,limb weakness,SS3E,Innate heat weakness pattern (TM2),close
sx_鳞屑薄,鳞屑薄,thin scales,MF54.2,Small kidney,close
sx_颈痛,颈痛,Neck pain,ME84.0,Cervical spine pain,exact
sx_指纹增长,指纹增长,lengthened finger venules,SE72,Heat pattern (TM1),close
sx_指纹增长,指纹增长,lengthened finger venules,SF02,Blood heat pattern (TM1),close
sx_耳廓肿起柔软,耳廓肿起柔软,soft swollen auricle,SF7C,Stomach qi deficiency pattern (TM1),close
sx_暴露赤眼,暴露赤眼,Red eye exposure,MC15,Red eye,close
sx_脉代,脉代,Intermittent (replacement) pulse,XT5G,Intermittent,close
sx_黑便,黑便,Head titubation,ME24.A,Digestive tract haemorrhage,exact
sx_龋齿,龋齿,Carious teeth,DA08.0,Dental caries,close
sx_龋齿,龋齿,Carious teeth,SM1E,Dental caries disorder (TM2),close
sx_尿黄,尿黄,yellow urine,SF9G,Bladder dampness-heat pattern (TM1),close
sx_尿黄,尿黄,yellow urine,SF5A,Liver-gallbladder dampness-heat pattern (TM1),close
sx_带下如豆渣状,带下如豆渣状,bean-curd-dreg-like vaginal discharge,MF3A,Vaginal discharge,close
sx_带下如豆渣状,带下如豆渣状,bean-curd-dreg-like vaginal discharge,MC14,Eye discharge,close
sx_身热夜甚,身热夜甚,fever worsening at night,SF01,Blood stasis pattern (TM1),close
sx_麻木,麻木,Fatigable weakness,MB40.4,Numbness,exact
sx_目光呆滞,目光呆滞,dull stare,SF79,Spleen deficiency with dampness accumulation pattern (TM1),close
sx_耳背有红络,耳背有红络,red vessels on the back of auricle,NA0B,Injury of the auricle,close
sx_耳背有红络,耳背有红络,red vessels on the back of auricle,XA9E26,Skin of auricle,close
sx_经闭不行,经闭不行,Amenorrhea,SB94,Amenorrhea disorder (TM1),close
sx_皮肤白化,皮肤白化,skin whitening,XM6J14,"Protectant, skin",close
sx_眵白,眵白,white eye discharge,MC14,Eye discharge,close
sx_灼痛,灼痛,Burning pain,XE7PM,Burning oil,close
sx_灼痛,灼痛,Burning pain,DA0F.0,Burning mouth syndrome,close
sx_灼痛,灼痛,Burning pain,ED31,Burning feet syndrome,close
sx_趾肿,趾肿,Toe swelling,SK68,Tear sac swelling disorder (TM2),close
sx_牙齿松动,牙齿松动,Abnormality of the dentition,DA0C.0,Tooth mobility,exact
sx_眼肉光亮,眼肉光亮,lustrous eye tissue,XA0UK0,Bone tissue,close
sx_咳后有鸡鸣样回声,咳后有鸡鸣样回声,post-tussive cock-crow echo (whoop),1C12.Z,"Whooping cough, unspecified",close
sx_咳后有鸡鸣样回声,咳后有鸡鸣样回声,post-tussive cock-crow echo (whoop),1C12.Y,Other specified whooping cough,close
sx_身热不甚,身热不甚,mild fever,XS5W,Mild,close
sx_舌红,舌红,Abnormal tongue physiology,DA01,Gingival and tongue disorders,exact
sx_晶珠半脱,晶珠半脱,partial lens dislocation (subluxation),9B11.1,Dislocation of lens,close
sx_午后潮热,午后潮热,afternoon tidal fever,1C33,Q fever,close
sx_午后潮热,午后潮热,afternoon tidal fever,1D45,Sandfly fever,close
sx_午后潮热,午后潮热,afternoon tidal fever,1C11.00,Oroya fever,close
sx_悬雍下垂,悬雍下垂,uvula ptosis,XA2993,Uvula,close
sx_阴囊疼痛,阴囊疼痛,scrotal pain,MF40.20,Acute scrotal pain,close
sx_弛张热,弛张热,remittent fever,1C33,Q fever,close
sx_呕吐急迫,呕吐急迫,urgent vomiting,MD90.1,Vomiting,close
sx_视小为大,视小为大,macropsia,SC23,Uterine mass disorder (TM1),close
sx_痴呆,痴呆,Dementia,SD86,Dementia disorder (TM1),close
sx_尿如乳糜,尿如乳糜,chyluria (milky urine),MF92,Chyluria,exact
sx_尿如乳糜,尿如乳糜,chyluria (milky urine),SF79,Spleen deficiency with dampness accumulation pattern (TM1),close
sx_喉中痰鸣,喉中痰鸣,Stridor,MD11.B,Stridor,exact
sx_恶露粘稠,恶露粘稠,sticky lochia,SF01,Blood stasis pattern (TM1),close
sx_骨节痛,骨节痛,Arthralgia,SF00,Blood deficiency pattern (TM1),close
sx_骨节痛,骨节痛,Arthralgia,SR1T,Blood deficiency pattern (TM2),close
sx_复视,复视,Diplopia,MB44,Diplopia,exact
sx_口苦,口苦,Abnormality of taste sensation,MD95,Taste disorder,close
sx_皮疹脱屑,皮疹脱屑,scaling rash,ME66.6Z,"Rash, unspecified",close
sx_呵欠,呵欠,yawning,MD11.D,Yawning,exact
sx_气下坠感,气下坠感,bearing-down sensation of qi,SE93,Qi sinking pattern (TM1),close
sx_苦闷,苦闷,distress and depression,SD82,Depression disorder (TM1),close
sx_指甲色灰,指甲色灰,Gray nail,XA6Q52,Nail,close
sx_指甲色灰,指甲色灰,Gray nail,EE10.4,Nail atrophy,close
sx_指甲色灰,指甲色灰,Gray nail,EE10.3,Nail hypertrophy,close
sx_嗳气,嗳气,Recurrent singultus,MD95,Other specified symptoms of digestive system,exact
sx_胞睑色黯,胞睑色黯,dusky eyelid,SF01,Blood stasis pattern (TM1),close
sx_胞睑色黯,胞睑色黯,dusky eyelid,SF55,Liver depression and blood stasis pattern (TM1),close
sx_耳鸣如雷,耳鸣如雷,thunder-like tinnitus,MC41,Tinnitus,close
sx_口腔黏膜鲜红,口腔黏膜鲜红,Bright red oral mucosa,XA6NQ7,Oral mucosa,close
sx_阴囊瘙痒,阴囊瘙痒,scrotal itching,MF40.20,Acute scrotal pain,close
sx_阴囊瘙痒,阴囊瘙痒,scrotal itching,BD75.1,Scrotal varices,close
sx_带下量多,带下量多,profuse vaginal discharge,MF3A,Vaginal discharge,close
sx_尿无臊气,尿无臊气,absence of urinous odor,LB40.0,Absence of vulva,close
sx_尿无臊气,尿无臊气,absence of urinous odor,LB42.0,Absence of vagina,close
sx_疮疡周围乌黑,疮疡周围乌黑,pitch-black around the sore,XM08L6,Afghanistan black,close
sx_耳轮青紫,耳轮青紫,Bluish-purple auricular helix,XA9A86,Crus of helix,close
sx_大便酸臭,大便酸臭,sour-smelling stool,SF9G,Bladder dampness-heat pattern (TM1),close
sx_嗳气臭腐,嗳气臭腐,foul putrid belching,MD91,Belching,close
sx_皮肤光亮,皮肤光亮,Skin shininess,SF01,Blood stasis pattern (TM1),close
sx_齿垢多,齿垢多,profuse dental tartar,SF5A,Liver-gallbladder dampness-heat pattern (TM1),close
sx_滑精,滑精,spermatorrhea,SF93,Kidney yin deficiency pattern (TM1),close
sx_痰腥,痰腥,Sputum fishy,SF7M,Spleen and kidney yang deficiency pattern (TM1),close
sx_指甲色白,指甲色白,White nail,XA6Q52,Nail,close
sx_指甲色白,指甲色白,White nail,XM6AD6,Egg white,close
sx_小便急迫,小便急迫,urgent urination,SF9G,Bladder dampness-heat pattern (TM1),close
sx_鱼际脉络黑,鱼际脉络黑,Black thenar-eminence vessels and collaterals,XA2JN4,Thenar eminence,close
sx_鱼际脉络黑,鱼际脉络黑,Black thenar-eminence vessels and collaterals,XA57N0,Malar eminence,close
sx_绞痛,绞痛,Angina pectoris,BA40.Z,"Angina pectoris, unspecified",close
sx_绞痛,绞痛,Angina pectoris,BA40.Y,Other specified angina pectoris,close
